Date,Meter Type,MeterSizeDesc4
4/1/2010,Water, 5/8   3/4
4/5/2010,Water, 5/8   3/4
4/5/2010,Water, 5/8   3/4
4/5/2010,Water, 5/8   3/4
4/5/2010,Water, 5/8   3/4
4/5/2010,Water, 5/8   3/4
4/6/2010,Water, 5/8   3/4
4/6/2010,Water, 5/8   3/4
4/6/2010,Water, 5/8   3/4
4/6/2010,Water, 5/8   3/4
4/6/2010,Water, 5/8   3/4
4/7/2010,Water, 5/8   3/4
4/7/2010,Water, 5/8   3/4
4/7/2010,Water, 5/8   3/4
4/7/2010,Water, 5/8   3/4
4/7/2010,Water, 5/8   3/4
4/7/2010,Water, 5/8   3/4
4/7/2010,Reuse, 5/8   3/4
4/7/2010,Water, 5/8   3/4
4/7/2010,Water, 5/8   3/4
4/7/2010,Water, 5/8   3/4
4/7/2010,Water, 5/8   3/4
4/8/2010,Water, 5/8   3/4
4/9/2010,Water, 5/8   3/4
4/9/2010,Water, 5/8   3/4
4/12/2010,Water, 5/8   3/4
4/12/2010,Water, 5/8   3/4
4/12/2010,Water, 5/8   3/4
4/12/2010,Water, 5/8   3/4
4/12/2010,Reuse, 5/8   3/4
4/13/2010,Water, 5/8   3/4
4/13/2010,Water, 5/8   3/4
4/13/2010,Water, 5/8   3/4
4/13/2010,Water, 5/8   3/4
4/13/2010,Water, 5/8   3/4
4/13/2010,Water, 5/8   3/4
4/14/2010,Water, 5/8   3/4
4/14/2010,Water, 5/8   3/4
4/14/2010,Water, 5/8   3/4
4/14/2010,Water, 5/8   3/4
4/14/2010,Water, 5/8   3/4
4/14/2010,Water, 5/8   3/4
4/14/2010,Water, 5/8   3/4
4/15/2010,Water, 5/8   3/4
4/15/2010,Water, 5/8   3/4
4/15/2010,Water, 5/8   3/4
4/15/2010,Water, 5/8   3/4
4/15/2010,Water, 5/8   3/4
4/15/2010,Water, 5/8   3/4
4/15/2010,Water, 5/8   3/4
4/15/2010,Water, 5/8   3/4
4/15/2010,Water, 5/8   3/4
4/16/2010,Water, 5/8   3/4
4/16/2010,Water, 5/8   3/4
4/16/2010,Water, 5/8   3/4
4/16/2010,Water, 5/8   3/4
4/16/2010,Water, 5/8   3/4
4/16/2010,Water, 5/8   3/4
4/19/2010,Water, 5/8   3/4
4/19/2010,Water, 5/8   3/4
4/19/2010,Water, 5/8   3/4
4/19/2010,Water, 5/8   3/4
4/19/2010,Water, 5/8   3/4
4/19/2010,Water, 5/8   3/4
4/19/2010,Water, 5/8   3/4
4/19/2010,Water, 5/8   3/4
4/20/2010,Water, 5/8   3/4
4/20/2010,Water, 5/8   3/4
4/20/2010,Water, 5/8   3/4
4/20/2010,Water, 5/8   3/4
4/20/2010,Water, 5/8   3/4
4/20/2010,Water, 5/8   3/4
4/21/2010,Water, 5/8   3/4
4/21/2010,Water, 5/8   3/4
4/21/2010,Water, 5/8   3/4
4/21/2010,Water, 5/8   3/4
4/21/2010,Water, 5/8   3/4
4/22/2010,Water, 5/8   3/4
4/22/2010,Water,1
4/23/2010,Water, 5/8   3/4
4/23/2010,Water, 5/8   3/4
4/23/2010,Reuse, 5/8   3/4
4/23/2010,Water, 5/8   3/4
4/23/2010,Water, 5/8   3/4
4/26/2010,Water, 5/8   3/4
4/26/2010,Water, 5/8   3/4
4/27/2010,Water, 5/8   3/4
4/27/2010,Water, 5/8   3/4
4/27/2010,Water, 5/8   3/4
4/28/2010,Water, 5/8   3/4
4/28/2010,Water, 5/8   3/4
4/28/2010,Reuse, 5/8   3/4
4/29/2010,Water, 5/8   3/4
4/29/2010,Water, 5/8   3/4
5/3/2010,Water, 5/8   3/4
5/3/2010,Water, 5/8   3/4
5/3/2010,Water, 5/8   3/4
5/4/2010,Water, 5/8   3/4
5/4/2010,Water, 5/8   3/4
5/4/2010,Water, 5/8   3/4
5/5/2010,Water, 5/8   3/4
5/5/2010,Water, 5/8   3/4
5/5/2010,Water, 5/8   3/4
5/5/2010,Water, 5/8   3/4
5/5/2010,Water, 5/8   3/4
5/5/2010,Water, 5/8   3/4
5/5/2010,Water, 5/8   3/4
5/6/2010,Water, 5/8   3/4
5/6/2010,Water, 5/8   3/4
5/6/2010,Water, 5/8   3/4
5/6/2010,Water, 5/8   3/4
5/6/2010,Water, 5/8   3/4
5/7/2010,Water, 5/8   3/4
5/10/2010,Water, 5/8   3/4
5/10/2010,Water, 5/8   3/4
5/10/2010,Water, 5/8   3/4
5/10/2010,Water, 5/8   3/4
5/10/2010,Water, 5/8   3/4
5/10/2010,Reuse, 5/8   3/4
5/10/2010,Water, 5/8   3/4
5/10/2010,Water, 5/8   3/4
5/10/2010,Water, 5/8   3/4
5/10/2010,Water, 5/8   3/4
5/10/2010,Reuse, 5/8   3/4
5/11/2010,Water, 5/8   3/4
5/11/2010,Water, 5/8   3/4
5/11/2010,Water, 5/8   3/4
5/11/2010,Water, 5/8   3/4
5/11/2010,Water, 5/8   3/4
5/12/2010,Water, 5/8   3/4
5/12/2010,Water, 5/8   3/4
5/12/2010,Water, 5/8   3/4
5/12/2010,Water, 5/8   3/4
5/12/2010,Water, 5/8   3/4
5/12/2010,Water, 5/8   3/4
5/13/2010,Water, 5/8   3/4
5/14/2010,Water, 5/8   3/4
5/14/2010,Reuse, 5/8   3/4
5/14/2010,Water, 5/8   3/4
5/14/2010,Water, 5/8   3/4
5/14/2010,Water, 5/8   3/4
5/17/2010,Water, 5/8   3/4
5/17/2010,Water, 5/8   3/4
5/18/2010,Water, 5/8   3/4
5/18/2010,Water, 5/8   3/4
5/18/2010,Water, 5/8   3/4
5/19/2010,Water, 5/8   3/4
5/19/2010,Water, 5/8   3/4
5/19/2010,Water, 5/8   3/4
5/19/2010,Water, 5/8   3/4
5/19/2010,Water, 5/8   3/4
5/19/2010,Water, 5/8   3/4
5/19/2010,Water, 5/8   3/4
5/19/2010,Water, 5/8   3/4
5/19/2010,Water, 5/8   3/4
5/19/2010,Water,2
5/19/2010,Reuse, 5/8   3/4
5/20/2010,Water, 5/8   3/4
5/20/2010,Water, 5/8   3/4
5/20/2010,Reuse, 5/8   3/4
5/20/2010,Reuse, 5/8   3/4
5/20/2010,Water, 5/8   3/4
5/20/2010,Water, 5/8   3/4
5/20/2010,Water, 5/8   3/4
5/20/2010,Water, 5/8   3/4
5/20/2010,Water, 5/8   3/4
5/20/2010,Water, 5/8   3/4
5/21/2010,Water, 5/8   3/4
5/21/2010,Water, 5/8   3/4
5/21/2010,Water, 5/8   3/4
5/21/2010,Water, 5/8   3/4
5/21/2010,Water, 5/8   3/4
5/24/2010,Water, 5/8   3/4
5/24/2010,Water, 5/8   3/4
5/24/2010,Water, 5/8   3/4
5/24/2010,Water, 5/8   3/4
5/24/2010,Water, 5/8   3/4
5/24/2010,Water, 5/8   3/4
5/24/2010,Water, 5/8   3/4
5/25/2010,Water, 5/8   3/4
5/25/2010,Water, 5/8   3/4
5/25/2010,Water, 5/8   3/4
5/25/2010,Water, 5/8   3/4
5/25/2010,Water, 5/8   3/4
5/26/2010,Water, 5/8   3/4
5/26/2010,Water, 5/8   3/4
5/26/2010,Water, 5/8   3/4
5/26/2010,Water, 5/8   3/4
5/26/2010,Water, 5/8   3/4
5/26/2010,Water, 5/8   3/4
5/26/2010,Water, 5/8   3/4
5/26/2010,Water, 5/8   3/4
5/27/2010,Water, 5/8   3/4
5/27/2010,Water, 5/8   3/4
5/27/2010,Water, 5/8   3/4
5/27/2010,Water, 5/8   3/4
5/27/2010,Water, 5/8   3/4
6/1/2010,Water, 5/8   3/4
6/1/2010,Water, 5/8   3/4
6/1/2010,Water, 5/8   3/4
6/1/2010,Water, 5/8   3/4
6/1/2010,Water, 5/8   3/4
6/1/2010,Water, 5/8   3/4
6/1/2010,Water, 5/8   3/4
6/1/2010,Water,1
6/2/2010,Water, 5/8   3/4
6/2/2010,Water, 5/8   3/4
6/2/2010,Water, 5/8   3/4
6/2/2010,Water, 5/8   3/4
6/2/2010,Water, 5/8   3/4
6/2/2010,Water, 5/8   3/4
6/2/2010,Water, 5/8   3/4
6/2/2010,Water, 5/8   3/4
6/3/2010,Water, 5/8   3/4
6/3/2010,Water, 5/8   3/4
6/3/2010,Water, 5/8   3/4
6/4/2010,Water, 5/8   3/4
6/4/2010,Water, 5/8   3/4
6/4/2010,Water, 5/8   3/4
6/7/2010,Water, 5/8   3/4
6/9/2010,Water, 5/8   3/4
6/9/2010,Water, 5/8   3/4
6/14/2010,Reuse, 5/8   3/4
6/14/2010,Reuse, 5/8   3/4
6/14/2010,Water, 5/8   3/4
6/15/2010,Water, 5/8   3/4
6/15/2010,Water, 5/8   3/4
6/15/2010,Reuse, 5/8   3/4
6/15/2010,Water, 5/8   3/4
6/15/2010,Water, 5/8   3/4
6/16/2010,Water, 5/8   3/4
6/16/2010,Water, 5/8   3/4
6/16/2010,Water, 5/8   3/4
6/18/2010,Water, 5/8   3/4
6/18/2010,Water, 5/8   3/4
6/21/2010,Water, 5/8   3/4
6/21/2010,Water, 5/8   3/4
6/21/2010,Water, 5/8   3/4
6/21/2010,Water, 5/8   3/4
6/21/2010,Water, 5/8   3/4
6/21/2010,Water, 5/8   3/4
6/21/2010,Water, 5/8   3/4
6/21/2010,Water, 5/8   3/4
6/21/2010,Water, 5/8   3/4
6/22/2010,Water, 5/8   3/4
6/22/2010,Water, 5/8   3/4
6/22/2010,Water, 5/8   3/4
6/22/2010,Reuse, 5/8   3/4
6/22/2010,Water, 5/8   3/4
6/22/2010,Water, 5/8   3/4
6/22/2010,Water, 5/8   3/4
6/23/2010,Water, 5/8   3/4
6/23/2010,Water, 5/8   3/4
6/23/2010,Water, 5/8   3/4
6/24/2010,Water, 5/8   3/4
6/24/2010,Water, 5/8   3/4
6/24/2010,Water, 5/8   3/4
6/24/2010,Water,1.5
6/25/2010,Water, 5/8   3/4
6/25/2010,Water, 5/8   3/4
6/28/2010,Water, 5/8   3/4
6/28/2010,Water, 5/8   3/4
6/28/2010,Water, 5/8   3/4
6/28/2010,Water, 5/8   3/4
6/28/2010,Water, 5/8   3/4
6/28/2010,Water, 5/8   3/4
6/28/2010,Water, 5/8   3/4
6/28/2010,Water, 5/8   3/4
